Image Name,Detected Plates
0001.jpg, 33333FY||33333FN
0002.jpg, 61T32222
0003.jpg, 81AA04892||81K53579||67FB2113
0004.jpg, 61F102330
0005.jpg, 86B137449
0006.jpg, 35AA60320
0007.jpg, 29Z177113
0008.jpg, 30A75344
0009.jpg, 30E07098
0010.jpg, 30E64967
0011.jpg, 60A55655
0012.jpg, 51G79984
0013.jpg, 51H32116
0014.jpg, 51F70804
0015.jpg, 51G68882
0016.jpg, 29D253943
0017.jpg, 51H04073
0018.jpg, 84B136217||66P189575||75H135792
0019.jpg, 60B933994
0020.jpg, 49E164481||86B137449
0021.jpg, 71B155794||49019BD
0022.jpg, 47K117349||78H104652
0023.jpg, 51G10096
0024.jpg, 51G10096
0025.jpg, 51A65474
0026.jpg, 51A65474
0027.jpg, 51G51936
0028.jpg, 51G51936
0029.jpg, 51A64826
0030.jpg, 51F86988
0031.jpg, 51F86988
0032.jpg, 52Y6490
0033.jpg, 52Y6490
0034.jpg, 51G49524
0035.jpg, 51A96141
0036.jpg, 51F79512
0037.jpg, 51F79512
0038.jpg, 29A51796
0039.jpg, 29A51796
0040.jpg, 51F68784
0041.jpg, 51F68784
0042.jpg, 30N4616
0043.jpg, 48A02866
0044.jpg, 48A02866
0045.jpg, 51G22807
0046.jpg, 51G49539
0047.jpg, 51G49539
0048.jpg, 43A18650
0049.jpg, 43A18650
0050.jpg, 51F73420
0051.jpg, 51F73420
0052.jpg, 47A06546
0053.jpg, 47A06546
0054.jpg, 51F89357
0055.jpg, 51F89357
0056.jpg, 51A64826
0057.jpg, 51A64826
0058.jpg, 51F86988
0059.jpg, 51F86988
0060.jpg, 52Y6490
0061.jpg, 52Y6490
0062.jpg, 29BC05366||29AA90703||99M?805174
0063.jpg, 90B290511||29X332131||29AE90158||29L161212
0064.jpg, 51G49524
0065.jpg, 29X332131||29V321473
0066.jpg, 51F04275
0067.jpg, 51A96141
0068.jpg, 51F79512
0069.jpg, 51F79512
0070.jpg, 51F68784
0071.jpg, 51F68784
0072.jpg, 30N4616
0073.jpg, 30N4616
0074.jpg, 48A02866
0075.jpg, 48A02866
0076.jpg, 51G49539
0077.jpg, 51G49539
0078.jpg, 51F73420
0079.jpg, 51F73420
0080.jpg, 51G21670
0081.jpg, 51G21670
0082.jpg, 29AD20869||36AC59961||29V159460||35G101531
0083.jpg, 51A05227
0084.jpg, 51A05227
0085.jpg, 51G21670
0086.jpg, 51G21670
0087.jpg, 51F59881
0088.jpg, 51A01204
0089.jpg, 51A01204
0090.jpg, 51F06948
0091.jpg, 51F06948
0092.jpg, 51G39466
0093.jpg, 51F07973
0094.jpg, 51F07973
0095.jpg, 51G49160
0096.jpg, 51F61712
0097.jpg, 48A05177
0098.jpg, 48A05177
0099.jpg, 51F76354
0100.jpg, 51F88270
0101.jpg, 51F88270
0102.jpg, 56S4698
0103.jpg, 51F63034
0104.jpg, 51F63034
0105.jpg, 52Y6490
0106.jpg, 52Y6490
0107.jpg, 51F16159
0108.jpg, 51F16159
0109.jpg, 61A22959
0110.jpg, 61A22959
0111.jpg, 51G37675
0112.jpg, 51A89714
0113.jpg, 51A89714
0114.jpg, 60A35981
0115.jpg, 51A72110
0116.jpg, 51A96141
0117.jpg, 51F24403
0118.jpg, 51F24403
0119.jpg, 51G37307
0119.jpg, 51G37307
0121.jpg, 51G31691
0122.jpg, 51G31691
0123.jpg, 51G31691
0124.jpg, 51G31691
0125.jpg, 51G51332
0126.jpg, 51G51332
0127.jpg, 51F15585
0128.jpg, 51F15585
0129.jpg, 51F22261
0130.jpg, 51F22261
0131.jpg, 60A35981
0132.jpg, 60A35981
0133.jpg, 60A35981
0134.jpg, 51F59011
0135.jpg, 51F59011
0136.jpg, 51F04275
0137.jpg, 51F32488
0138.jpg, 51F32488
0139.jpg, 51G44313
0140.jpg, 51G44313
0141.jpg, 51G47281
0142.jpg, 51F15585
0143.jpg, 51F15585
0144.jpg, 51F59881
0145.jpg, 51F59881
0146.jpg, 50LD04411
0147.jpg, 50LD04411
0148.jpg, 50LD04411
0149.jpg, 50LD04411
0150.jpg, 51F82606
0151.jpg, 51F82606
0152.jpg, 51F06532
0153.jpg, 51A72078
0154.jpg, 51A72078
0155.jpg, 51A77529
0156.jpg, 51G29034
0157.jpg, 51A05227
0158.jpg, 51A05227
0159.jpg, 51G21670
0160.jpg, 51F59881
0161.jpg, 51F59881
0162.jpg, 51A01204
0163.jpg, 51A01204
0164.jpg, 51G39466
0165.jpg, 51F07973
0166.jpg, 51F07973
0167.jpg, 51F61712
0168.jpg, 51F61712
0169.jpg, 48A05177
0170.jpg, 48A05177
0171.jpg, 51F76354
0172.jpg, 29E72292
